event_time,estimate,std_error,ci_low,ci_high,p_value_t20,contributing_cohorts
-5,0.0009051705237661073,0.004400564883999671,-0.008274246971578832,0.010084588019111046,0.8391090892870043,2023
-4,0.0017447232501169676,0.0037138051750655716,-0.006002138595336515,0.00949158509557045,0.6435840627084288,"2022,2023"
-3,0.0033647344108747794,0.0032044734698280053,-0.0033196801149195623,0.010049148936669122,0.30623573293078366,"2022,2023"
-2,-0.0008163443098941458,0.0015456262941715864,-0.004040464262669028,0.0024077756428807365,0.6031971838639151,"2022,2023"
-1,0.0,0.0,0.0,0.0,,reference
0,-0.0012315694025432087,0.001960763566146692,-0.005321650530255817,0.0028585117251693996,0.5370409054558093,"2022,2023"
1,-0.004015101118455708,0.005817342202325067,-0.016149864312742738,0.00811966207583132,0.4980033738548394,"2022,2023"
2,-0.0048542789796663715,0.007839093936981003,-0.021206342391891984,0.011497784432559239,0.5427486694255726,2022
