draw,coefficient
1,0.019441065970795285
2,-0.041911980672380084
3,-0.08064421646424748
4,0.045949505366059226
5,-0.05319868223994359
6,-0.034660445463692374
7,0.03623947930821914
8,0.05101071586569258
9,-0.06179708168484414
10,-0.015247216757526013
11,-0.07309844257396331
12,0.028118416671990415
13,0.044342617375998206
14,0.027514930762455966
15,-0.05211826151047784
16,0.04239710256264942
17,0.011078083908523604
18,-0.08484047768266284
19,-0.0027807062983251783
20,-0.032297639974152435
21,-0.03278321090081527
22,0.017997243660117377
23,-0.0779449234304063
24,0.016276380021982964
25,0.04099918001212003
26,0.03396632762740708
27,0.03047168502190945
28,-0.042854251553366696
29,0.04009808715455239
30,-0.033274400671202874
31,-0.08652487047333718
32,-0.03343816596622421
33,0.03373386319277282
34,0.002352517539715609
35,-0.02361240178055972
36,-0.004570810668403167
37,-0.01133396854495904
38,0.03755574986644638
39,0.047653178834856785
40,0.008073741452578668
41,-0.02054286446098928
42,-0.028169918556259863
43,-0.06294895118349396
44,-0.03955408233846266
45,0.04059463137721545
46,-0.0016816582498571818
47,-0.018093320112880742
48,-0.006672520150687285
49,-0.027330133894690033
50,-0.049466628533843114
51,-0.013481731515529491
52,0.03181476266657384
53,0.04389857989175026
54,-0.026251485622774934
55,0.0005261648504783099
56,-0.047105361641445034
57,-0.09176228912191661
58,-0.06585637857311115
59,-0.021489757594191635
60,0.016729671822592305
61,0.016315655409409928
62,-0.03845626952053438
63,0.04055428739465076
64,-0.07192783549172961
65,-0.05019329952005314
66,0.0574412258232478
67,0.0630723946004741
68,-0.023049893084528275
69,-0.029239537966072753
70,0.026046005834254846
71,-0.04131477632556081
72,0.034379544230491804
73,-0.015809937306128657
74,-0.06840320737015607
75,-0.08064113677697894
76,0.027615457738171926
77,0.018186033972164308
78,0.03398040458455035
79,-0.011542782094487607
80,0.0001360809720812929
81,-0.052901237588278714
82,-0.0058614341240169005
83,0.014636587056646031
84,-0.05450434749039157
85,-0.052896090508746225
86,-0.050339681160533126
87,-0.03995595779117004
88,-0.012839335774036545
89,0.05942188761505886
90,-0.08304963748324429
91,-0.017454729051048664
92,-0.07442881483815406
93,-0.018767214859188978
94,-0.018647939915795615
95,0.022406194933978253
96,-0.0429027473518941
97,0.02457430620594736
98,-0.005068972888161814
99,-0.024575129636643763
100,-0.0032722584543324784
101,-0.0237992384250613
102,-0.041411529272670576
103,0.018812370542543155
104,0.018770660792287484
105,0.03864859075528137
106,-0.007421884725294656
107,0.014449123404013976
108,0.01647787134881494
109,0.026628679707484056
110,-0.06265232390580382
111,0.0037435280929857123
