placebo_type,k_countries,draws,real_beta,dist_mean,dist_sd,dist_min,dist_max,rank_p_vs_real,two_sided_p_vs_zero,frac_positive
country_label,5,499,0.013629218237596542,-0.017908072550438553,0.05220108854539993,-0.20434561661688358,0.20502263011434232,0.84,0.8396793587174348,0.342685370741483
country_label,8,499,0.013629218237596542,-0.017493798479498276,0.04280998715596115,-0.14478628718789555,0.12045125721756918,0.83,0.8296593186372746,0.3346693386773547
country_label,10,499,0.013629218237596542,-0.014957586154399204,0.03877827586283414,-0.17777628692894318,0.06994968226450532,0.828,0.8276553106212425,0.3627254509018036
country_label,12,499,0.013629218237596542,-0.015391942124938846,0.03525018568394214,-0.10504746460537127,0.06393941672374623,0.78,0.779559118236473,0.32665330661322645
country_label,14,499,0.013629218237596542,-0.010276125577470258,0.03495245423613596,-0.09726494060391007,0.06463691237263405,0.774,0.7735470941883767,0.4148296593186373
country_label,16,499,0.013629218237596542,-0.011058065343127768,0.03317123997139202,-0.09007420870219575,0.062478978472561356,0.808,0.8076152304609219,0.3967935871743487
country_label,18,499,0.013629218237596542,-0.011799324496838239,0.03285145763612153,-0.0944322170330668,0.060664176965857276,0.76,0.7595190380761523,0.3807615230460922
country_label,21,499,0.013629218237596542,-0.008571010439031499,0.032159865395172585,-0.09774051851963801,0.056366770108582126,0.792,0.7915831663326653,0.40681362725450904
country_label,25,499,0.013629218237596542,-0.008206092328970155,0.030651719207911605,-0.08558930231751805,0.05639166248512071,0.742,0.7414829659318637,0.4248496993987976
country_label,30,499,0.013629218237596542,-0.0071046644370402765,0.029002452508568092,-0.08308377806553502,0.05773348625634433,0.71,0.7094188376753507,0.4408817635270541
country_label,40,499,0.013629218237596542,-0.004047817919031169,0.025326909961302487,-0.07057242962726606,0.05456861451015698,0.65,0.6492985971943888,0.48096192384769537
