theta_pair,theta_country
0.012575399090783299,0.013882099877028618
0.006512560441933784,-0.02387609269801948
0.010901051314265126,0.007529426558051877
0.007710026179810748,0.019199067329943576
0.006922981001356544,-0.009466906029068353
0.00856319886952904,0.008158202675771975
0.003192939050559515,0.014585746326026926
0.006232689435891769,0.01257446291821138
0.010837296886627332,0.009836040812718728
0.004286929437060548,0.0025988763947789118
0.010965103236487167,0.011487951570491647
0.008100742468531938,0.0078867477490681
0.00424790890119661,-0.0040455156572683105
0.009502391027847357,0.0025422160659067166
0.010233416810976495,0.005206807383158517
0.0024760721431881703,0.012578993584735706
0.005693965447122212,0.008091262688904512
0.00937377080477328,-0.0023867002670345944
0.0084294976038779,0.013001560038323264
0.008676789704959375,0.0019764155879547474
0.009664036594364973,0.012673883103625837
0.007211305401235865,0.01764202874862305
0.005581733759227194,0.002814161131184837
0.006649005110870659,0.010906350941054752
0.0057435265572939945,0.005515092245101696
0.005477285818123528,0.004783473744938618
0.006774457343596252,0.004145357741924886
0.009192186808327408,-0.000998841417564919
0.006050868200635792,-0.012438291354654601
0.008028026904263299,-0.0038611788776734745
0.006562901628433035,0.035902576964343534
0.011003270875472626,0.006818851497811702
0.00495412318107895,0.003114173034555126
0.006873199460235133,0.0006801567838159838
0.008763839928229926,0.014679042041586356
0.007059447340085691,0.001964170523155716
0.006577685773531661,0.009034539320118605
0.009065043505571788,0.011257471279283681
0.007365115118049036,0.011721446320608862
0.004871140160908172,0.0061802275657726145
0.008883527199563273,0.009949742684274208
0.010378212369297608,-0.0035717198535614282
0.006077588063498301,0.006620135150457351
0.007597512162358591,0.010512526162082238
0.007656049433268591,0.010418871720405436
0.002533076079368112,0.006264099002583989
0.009701249437697864,0.009415828581274188
0.011617725967758612,0.006967239318050031
0.0069550560843034855,0.01481885722348068
0.00930575167809914,0.016429263061997625
0.009344994729007768,-0.005214667485108048
0.012024336491329163,-0.003002181621204123
0.005183988239781134,0.019617285972854587
0.006285351809805965,0.005844188835663467
0.008441548049200236,0.016079387013608573
0.00826541237272966,0.016964225209703403
0.005474497625158179,0.02242509749420334
0.00522579528846132,0.005580918270718246
0.007145813237532924,0.0035094929028972413
0.007938129995500915,0.014603244481166965
0.01090511764708639,0.0028499055338899416
0.013221468353670569,0.007223196461654206
0.008129827037533028,0.010353377190230037
0.004891032081764294,0.011403282252520408
0.007096025812277942,0.013651615351337082
0.0067522674972148354,0.013932052489937053
0.01266693279848854,-0.010592554412875906
0.006891257592601024,0.012785083592300493
0.0040901357709972235,0.016180422430118586
0.010285919672396412,0.009762397896391686
0.005104949870619171,0.0004603242040417102
0.0076370285613332235,0.012700833472216963
0.006610739852039138,-0.006034384880129715
0.007330113559928749,0.011598504651574673
0.00900842027884708,0.0024559268675335877
0.00483373274482586,0.007538705794884003
0.006271236583078016,0.004706734071938431
0.010143720690741306,0.017808481239500046
0.009162355376095003,-0.000657706669534774
0.00961518271877096,0.016018414985450806
0.009609299356282394,0.0023170936961252157
0.00871692351991103,0.023235345116343308
