model,theta,pair_se,pair_ci_low,pair_ci_high,pair_p,country_se,country_ci_low,country_ci_high,country_p
Logit propensity + HGB outcome,0.008219310957343276,0.002121285206101421,0.003964228377197681,0.012321565861510569,0.0,0.00796336052663895,-0.011075250508393959,0.02146993776983108,0.3083083083083083
HGB classifier propensity + HGB outcome,0.007089619960798015,0.002135522058678464,0.0028366216261168043,0.011393811945074123,0.0,0.008310550524343943,-0.012638864140202198,0.020573370177972766,0.37237237237237236
Random forest propensity + HGB outcome,0.006886345598509605,0.0021388890488799163,0.0025816934696476545,0.011210416033198499,0.0,0.00848584604797032,-0.013313404308926182,0.020615832386123113,0.3983983983983984
