specification,term,coefficient,std_error,t_stat,p_value,observations,pairs,partner_countries,entity_fe,time_fe,cluster
False policy year 2019,fake_2019,0.007384270803434236,0.01034371059607496,0.7138899271056832,0.4752957751855811,393925,78785,181,True,True,partner_country
False policy year 2020,fake_2020,0.003737670832645978,0.011820519289591913,0.31620191474473,0.7518494639211462,393925,78785,181,True,True,partner_country
False policy year 2021,fake_2021,0.005149423463451694,0.011506932831792532,0.44750617203781184,0.65450994009956,393925,78785,181,True,True,partner_country
"True policy 2022 (reference, full sample)",treat,0.013629218237613379,0.020334769201186646,0.670242091403626,0.5027037563144066,630280,78785,181,True,True,partner_country
