fold,test_rows,test_countries,theta,den
1,15757,29,0.028010133689768322,837.708431904139
2,15757,31,-0.05382410839858093,881.2497854733078
3,15757,41,0.010585523426521002,5367.863768270236
4,15757,40,0.001422542229727125,1127.8396834446942
5,15757,40,0.01290018987980179,5485.846237454391
