rel_time,term,coef,se,p,ci_lo,ci_hi
-4,m4,-0.003670962355126302,0.006494341669572418,0.5719002209432986,-0.01639987202748824,0.009057947317235637
-3,m3,0.004732794577672566,0.005897948172093367,0.42229441198660433,-0.0068271838396304334,0.016292772994975564
-2,m2,0.0007225408411415176,0.006893788439545211,0.91652628211642,-0.012789284500367095,0.014234366182650131
-1,m1,0.0,0.0,,0.0,0.0
0,p0,0.0058500136011155465,0.016246999786112045,0.7187969319548033,-0.02599410597966406,0.037694133181895156
1,p1,0.015480440827524014,0.020156280292030843,0.44247520624175385,-0.024025868544856437,0.05498675019990446
2,p2,0.020627824122367924,0.02713088777298008,0.4470709780150519,-0.032548715912673026,0.07380436415740887
3,p3,0.0,0.0,,0.0,0.0
