draw,treated_pair_units,coefficient
1,14385,-0.0006753184929954107
2,14385,0.004081521109448761
3,14385,-0.002160767808657357
4,14385,-0.0009361225713177378
5,14385,-0.009820470195906554
6,14385,-0.005743989058651059
7,14385,-0.006186222061023699
8,14385,0.004121208686584769
9,14385,0.002635759370922823
10,14385,-0.003385413045996977
11,14385,-0.00041451441467308477
12,14385,0.004478396880808823
13,14385,0.006876660470598912
14,14385,0.0034011626442600833
15,14385,-0.004921889246548073
16,14385,0.0009348632079511283
17,14385,0.0025166966395148028
18,14385,0.001337408633187763
19,14385,-0.004439968667039428
20,14385,-0.004802826515140055
21,14385,-0.0026596973497957214
22,14385,0.001042586631606002
23,14385,-0.002081392654385345
24,14385,0.002034776060006157
25,14385,-0.0016675079213955657
26,14385,-0.002795769042833457
27,14385,-0.0031246089676746493
28,14385,-0.003402422007626692
29,14385,-0.006424347523839738
30,14385,-0.005948096598207665
31,14385,0.0011049528242482961
32,14385,-0.0008283991476628634
33,14385,0.003072322719418892
34,14385,0.0036336184531995503
35,14385,-0.0022571519245590853
36,14385,-0.0016504989597658486
37,14385,0.004002145955176748
38,14385,-0.0029715283130071967
39,14385,-0.005732649750897916
40,14385,-0.0010551853027257556
41,14385,-0.0056022477117367514
42,14385,0.0004756212439487702
43,14385,-0.0003067909910182102
44,14385,-0.002937510389747765
45,14385,0.0028965634492451498
46,14385,-0.002030365769496193
47,14385,0.0014621410184723514
48,14385,-0.0007490239933908494
49,14385,0.0012466941711626056
50,14385,-0.0018602761531990235
51,14385,0.006088578581755361
52,14385,-0.0006583095313656934
53,14385,0.0014621410184723527
54,14385,0.0023749552926004944
55,14385,0.0011106224781248682
56,14385,0.0011559797091374464
57,14385,2.77185876995572e-05
58,14385,0.0015358465188677927
59,14385,0.0002771833582687382
60,14385,0.0020007581367467208
61,14385,-0.004230191473606251
62,14385,-0.0005675950693405353
63,14385,0.006128266158891369
64,14385,-0.0011685783802572007
65,14385,0.002255892561192477
66,14385,0.002998617219023451
67,14385,-0.006027471752479676
68,14385,-0.0013159893810480818
69,14385,0.0014224534413363463
70,14385,-6.299335559876525e-06
71,14385,0.0026074111015399587
72,14385,-0.0028467959277226063
73,14385,-0.0025122863490048396
