specification,term,coefficient,std_error,t_stat,p_value,observations,pairs,partner_countries,cluster,pair_fe,year_fe
False policy year 2018,fake_2018,0.006041609995317451,0.0036616818066206587,1.649954942669694,0.0989531485806514,393925,78785,181,pair,True,True
False policy year 2019,fake_2019,0.007384270803434236,0.003581267371134785,2.061915528271324,0.039216596852397645,393925,78785,181,pair,True,True
False policy year 2020,fake_2020,0.003737670832645978,0.0036818709225387167,1.0151553140458238,0.31003257717355837,393925,78785,181,pair,True,True
False policy year 2021,fake_2021,0.005149423463451694,0.004013022669344939,1.2831782643012715,0.1994305727876029,393925,78785,181,pair,True,True
