region,cluster,coefficient,std_error,p_value,observations,pairs
东盟十国,pair,-0.03311631846413468,0.006840149943078348,1.2892284306786905e-06,630280,78785
日本和韩国,pair,0.038756089443798464,0.004944600900455021,4.6629367034256575e-15,630280,78785
澳大利亚和新西兰,pair,-0.03978077047800722,0.012860311326463016,0.0019795539444220633,630280,78785
东盟十国,country,-0.03311631846413468,0.027567373787980486,0.22964053805171858,630280,78785
日本和韩国,country,0.038756089443798464,0.011572844972610904,0.0008114384477915237,630280,78785
澳大利亚和新西兰,country,-0.03978077047800722,0.014225036799695117,0.005165608445883096,630280,78785
