specification,term,coefficient,std_error,p_value,observations,pairs,partner_countries,cluster
baseline,post_rcep,0.006108605320849716,0.006480470780710761,0.34587760108699594,253184,31648,154,pair
post_tariff_control,post_rcep,0.006301909773283747,0.006483317404896156,0.3310419986372093,253184,31648,154,pair
post_tariff_control,post_tariff,-0.03297410451931845,0.023620945742608153,0.1627252739312821,253184,31648,154,pair
full_triple_interaction,post_rcep,-0.0030681494610680276,0.01369558273894553,0.8227382536715453,253184,31648,154,pair
full_triple_interaction,post_tariff,-0.041732785714097276,0.026202901738850298,0.11123386717475459,253184,31648,154,pair
full_triple_interaction,triple,0.04705355661074229,0.060562105314504934,0.43719076685931935,253184,31648,154,pair
