dimension,moderator,base_effect,base_se,moderated_effect,moderated_se,moderated_t,difference,difference_se,difference_t,difference_p,observations,pairs,countries,cluster
Foreign supplier versus customer,supplier_link,-0.0032746494994229584,0.005224609233407484,0.029473340973404885,0.006334999702888332,4.652461303189491,0.032747990472827844,0.008211501864909626,3.988063451921077,6.66234285042755e-05,630280,78785,181,pair
Pre-policy regional sourcing breadth,multi_rcep_2021,0.011065475239559149,0.004287888482672566,0.059019933173429594,0.011728145441635439,5.032332986245737,0.047954457933870445,0.012487408984251637,3.84022482120572,0.00012293541559693644,630280,78785,181,pair
Pre-policy relationship tenure,older_relation,0.012796002969412358,0.012616378930483283,0.015530898171605153,0.01244475620349314,1.2479873384137294,0.0027348952021927944,0.01772131412401414,0.15432801332079205,0.8773513784788611,132816,16602,123,pair
Pre-policy firm size,large_firm,0.0004750793075682468,0.007825770711544996,0.012529976941267229,0.007569855298041225,1.6552465599321937,0.012054897633698982,0.010887855457478172,1.1071875155560817,0.26821370387169985,362440,45305,174,pair
