placebo_type,k_countries,draws,real_beta,dist_mean,dist_sd,rank_p_vs_real,two_sided_p_vs_zero
country_and_date,10,499,0.013629218237596542,-0.006906127364680528,0.01949189132042512,0.448,0.4468937875751503
country_and_date,14,499,0.013629218237596542,-0.005581519539896764,0.01596414799433914,0.408,0.40681362725450904
country_and_date,18,499,0.013629218237596542,-0.0035606895843647082,0.013898895033547352,0.346,0.34468937875751504
country_and_date,21,499,0.013629218237596542,-0.002270524092193242,0.013157767287986476,0.318,0.3166332665330661
