dimension,moderator,cluster,base_effect,base_se,base_p,high_effect,high_se_delta,difference,difference_se,difference_p,observations,pairs,countries
供应商关系方向,supplier_link,pair,-0.0032746494994229584,0.005224609233407484,0.530807614169253,0.029473340973404885,0.006334999702888332,0.032747990472827844,0.008211501864909626,6.66234285042755e-05,630280,78785,181
供应商关系方向,supplier_link,country,-0.0032746494994229584,0.018800617242056037,0.8617258230027109,0.029473340973404885,0.034133953034680115,0.032747990472827844,0.033464591015365315,0.32778485795129875,630280,78785,181
政策前RCEP来源广度,multi_rcep_2021,pair,0.011065475239559149,0.004287888482672566,0.009862133885735425,0.059019933173429594,0.011728145441635439,0.047954457933870445,0.012487408984251637,0.00012293541559693644,630280,78785,181
政策前RCEP来源广度,multi_rcep_2021,country,0.011065475239559149,0.018796266022333766,0.5560587300167161,0.059019933173429594,0.03582734894097494,0.047954457933870445,0.029750417111698166,0.1069860258734665,630280,78785,181
政策前企业规模,large_firm,pair,0.0004750793075682468,0.007825770711544996,0.9515925700950882,0.012529976941267229,0.007569855298041225,0.012054897633698982,0.010887855457478172,0.26821370387169985,362440,45305,174
政策前企业规模,large_firm,country,0.0004750793075682468,0.01915030484463561,0.9802081861588254,0.012529976941267229,0.03379181501915747,0.012054897633698982,0.03773815561690872,0.7493966853739815,362440,45305,174
