NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H4,840,2015,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010130,      6.80,      6.80,      6.80,      6.80,0,0,0,1,1,1,U2 
H4,840,2015,010190,      4.50,      0.00,      4.50,      2.25,0,1,0,1,2,2,U2 
H4,840,2015,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010229,      0.31,      0.00,      0.31,      0.15,0,1,1,0,2,2,U2 
H4,840,2015,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010239,      0.23,      0.23,      0.23,      0.23,0,0,1,0,1,1,U2 
H4,840,2015,010290,      0.29,      0.29,      0.29,      0.29,0,0,1,0,1,1,U2 
H4,840,2015,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2015,010420,      0.77,      0.77,      0.77,      0.77,0,0,1,0,1,1,U2 
H4,840,2015,010511,      0.61,      0.61,      0.61,      0.61,0,0,1,0,1,1,U2 
H4,840,2015,010512,      0.38,      0.38,      0.38,      0.38,0,0,1,0,1,1,U2 
H4,840,2015,010513,      0.45,      0.45,      0.45,      0.45,0,0,1,0,1,1,U2 
H4,840,2015,010514,      0.25,      0.25,      0.25,      0.25,0,0,1,0,1,1,U2 
H4,840,2015,010515,      0.65,      0.65,      0.65,      0.65,0,0,1,0,1,1,U2 
