outcome,post_x_first,p_first,triple,p_triple,n
japan_import_share,-0.0007537991484066276,0.16909069767602425,-0.0006768983175437462,0.041719489628949225,50948
rcep_import_share,-0.00023873644628559463,0.8497537595590163,-0.0006051475939487298,0.542473632943298,50948
supplier_hhi,0.0015187988559593676,0.13467972981644083,-0.0004156403502898603,0.5014018049555014,50948
supplier_effective_number,-0.00031491648517539085,0.9671857493477583,0.0016766559933190412,0.7225758937001783,50948
largest_supplier_share,0.0008539784228567907,0.3424929762636233,-0.0002239893050919354,0.6793825143672174,50948
