outcome,post_x_first,se_first,p_first,post_x_kor,se_kor,p_kor,post_x_existing,p_existing,n,hs6
japan_import_share,-0.00120081002321903,0.0005619387709628769,0.03261097106246713,0.0017797955800650093,0.0005975753937013678,0.0028994586130008937,-0.0005804792477816905,0.11010779113604174,50948,5192
rcep_import_share,-0.0006825242058464843,0.0013529488874061638,0.6139324880469244,0.00088557483866391,0.0016009843790336126,0.580167540387871,-0.0011231942211183308,0.30895298837548824,50948,5192
supplier_hhi,0.0011385649600066708,0.0009311531261662408,0.22143145974805045,-0.00011259352819832087,0.0009882560038375584,0.9092925632308984,-0.0018034710783898136,0.09613470919384293,50948,5192
supplier_effective_number,0.0016024215369807176,0.008138013224581304,0.8439021745328459,-0.009048517144590294,0.010174924407760851,0.3738488255433683,0.012522657738198346,0.09205761719670069,50948,5192
largest_supplier_share,0.000594082858939429,0.0008537566738854948,0.48652903878940235,0.00031040067072700514,0.0009480299530832349,0.7433543694690368,-0.0017242889024135567,0.06217238677618231,50948,5192
