outcome,post_x_jpn,se_jpn,p_jpn,triple,se_triple,p_triple,n
supplier_hhi,0.0006394863663241,0.00060929649994421,0.2939311854771385,-0.0003801371648092868,0.0006253338924273742,0.5432603265427238,50948
supplier_effective_number,-0.00241362680557842,0.004322954585144288,0.5766231265522768,0.001761393674920922,0.004818565705257591,0.7147076948244653,50948
rcep_import_share,-2.471960832746784e-05,0.0007294089626939734,0.9729650824599241,-0.0006137887534722852,0.0010093617851853528,0.5431268967202638,50948
japan_import_share,0.00041938990495417447,0.0003044829290268473,0.16840030590486066,-0.0007242670846842256,0.0003504426634463853,0.03876609895032623,50948
rcep_supplier_count,-0.001852819009591504,0.008770939140762673,0.8326968637051875,-0.021904500410218325,0.011579312658651789,0.05853825626209708,50948
