outcome,cluster,coef,se,p,n
break,fp-cluster,0.00025651355378439956,0.0006133766724409835,0.6758135460192611,115080
break,partner-cluster,0.00025651355378439956,0.0003060025459221369,0.41702464920729554,115080
entry,fp-cluster,-0.0002889903860670771,0.0009302127832720921,0.756059171813467,115080
entry,partner-cluster,-0.0002889903860670771,0.0011464918660155058,0.8049320909760769,115080
