outcome,cluster,coef,se,p,n
break,firm-cluster,-0.001708110645437443,0.0010939561921756193,0.11849145281292861,115080
break,country-cluster,-0.001708110645437443,0.000761034485098826,0.042843391800838404,115080
entry,firm-cluster,-0.005255006030803388,0.0018403901422206393,0.004316399616007605,115080
entry,country-cluster,-0.005255006030803388,0.0021818801693936586,0.03157980833155127,115080
