outcome,jpn_coef,jpn_se,jpn_p,asean_coef,asean_se,asean_p,n,hs6
japan_import_share,-2.3181489549137092e-05,0.0002943683727779194,0.9372318726560229,0.00020402422017876056,0.000306497004426436,0.5056288317614124,50948,5192
supplier_hhi,0.0010235160320450423,0.000530577329678823,0.05372946883239882,-0.0018378370493853542,0.0009689095989977032,0.057859361943974896,50948,5192
supplier_effective_number,-0.004307921639335979,0.004156054543783922,0.2999552219814272,0.00887823520855857,0.005904242084012367,0.1326643814619719,50948,5192
rcep_import_share,-0.00010289491097982109,0.0006371052878678677,0.8716973492407303,-0.0007639887482792508,0.0008486192506973774,0.3679798822266265,50948,5192
