architecture_count,firms,mean_pre_rcep_countries,mean_pre_supplier_partners
0,2295,0.0,0.0
1,209,1.0191387559808613,1.3205741626794258
2,38,2.1052631578947367,4.868421052631579
3,12,3.3333333333333335,8.583333333333334
4,2,6.0,12.5
