NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2017,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010130,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1,U2 
H5,840,2017,010190,      4.00,      0.00,      4.00,      2.00,0,1,0,1,2,2,U2 
H5,840,2017,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010229,      0.32,      0.00,      0.32,      0.16,0,1,1,0,2,2,U2 
H5,840,2017,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010239,      0.18,      0.18,      0.18,      0.18,0,0,1,0,1,1,U2 
H5,840,2017,010290,      0.32,      0.32,      0.32,      0.32,0,0,1,0,1,1,U2 
H5,840,2017,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010420,      1.04,      1.04,      1.04,      1.04,0,0,1,0,1,1,U2 
H5,840,2017,010511,      0.64,      0.64,      0.64,      0.64,0,0,1,0,1,1,U2 
H5,840,2017,010512,      0.38,      0.38,      0.38,      0.38,0,0,1,0,1,1,U2 
H5,840,2017,010513,      0.55,      0.55,      0.55,      0.55,0,0,1,0,1,1,U2 
H5,840,2017,010514,      0.28,      0.28,      0.28,      0.28,0,0,1,0,1,1,U2 
H5,840,2017,010515,      0.67,      0.67,      0.67,      0.67,0,0,1,0,1,1,U2 
H5,840,2017,010594,      2.06,      2.06,      2.06,      2.06,0,0,1,0,1,1,U2 
H5,840,2017,010599,      1.38,      1.38,      1.38,      1.38,0,0,1,0,1,1,U2 
H5,840,2017,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010619,      4.00,      0.00,      4.00,      2.00,0,1,0,1,2,2,U2 
H5,840,2017,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010631,      1.00,      1.00,      1.00,      1.00,0,0,0,1,1,1,U2 
H5,840,2017,010632,      1.00,      1.00,      1.00,      1.00,0,0,0,1,1,1,U2 
H5,840,2017,010633,      1.00,      1.00,      1.00,      1.00,0,0,0,1,1,1,U2 
H5,840,2017,010639,      1.00,      1.00,      1.00,      1.00,0,0,0,1,1,1,U2 
H5,840,2017,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,020110,     28.23,      1.11,     26.00,      9.41,0,0,2,1,3,3,U2 
H5,840,2017,020120,     55.86,      0.93,     26.00,      7.98,0,0,2,5,7,7,U2 
H5,840,2017,020130,     55.19,      0.60,     26.00,      7.88,0,0,2,5,7,7,U2 
H5,840,2017,020210,     28.55,      1.28,     26.00,      9.52,0,0,2,1,3,3,U2 
H5,840,2017,020220,     56.29,      1.14,     26.00,      8.04,0,0,2,5,7,7,U2 
H5,840,2017,020230,     55.85,      0.92,     26.00,      7.98,0,0,2,5,7,7,U2 
H5,840,2017,020311,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,020312,      0.69,      0.00,      0.69,      0.35,0,1,1,0,2,2,U2 
H5,840,2017,020319,      0.45,      0.00,      0.45,      0.22,0,1,1,0,2,2,U2 
H5,840,2017,020321,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2017,020322,      0.73,      0.00,      0.73,      0.37,0,1,1,0,2,2,U2 
