"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"201701","01012100","改良种用马","124","蒙古","19","边境小额贸易","15","内蒙古自治区","8750","千克","25","头","222,924",
"201701","01012900","其他马，改良种用除外","124","蒙古","10","一般贸易","15","内蒙古自治区","8500","千克","34","头","53,639",
"201701","01012900","其他马，改良种用除外","301","比利时","10","一般贸易","11","北京市","2400","千克","6","头","721,934",
"201701","01012900","其他马，改良种用除外","306","爱尔兰","10","一般贸易","11","北京市","30400","千克","76","头","8,661,159",
"201701","01012900","其他马，改良种用除外","309","荷兰","10","一般贸易","11","北京市","27550","千克","92","头","7,797,565",
"201701","01012900","其他马，改良种用除外","601","澳大利亚","10","一般贸易","11","北京市","7200","千克","18","头","3,284,845",
"201701","01012900","其他马，改良种用除外","609","新西兰","10","一般贸易","15","内蒙古自治区","33442","千克","93","头","9,402,151",
"201701","01013090","其他驴，改良种用除外","146","吉尔吉斯斯坦","10","一般贸易","37","山东省","88340","千克","750","头","469,052",
"201701","01022100","改良种用家牛","609","新西兰","10","一般贸易","11","北京市","510224","千克","1784","头","19,578,900",
"201701","01029010","改良种用其他牛","601","澳大利亚","10","一般贸易","11","北京市","370070","千克","1609","头","19,313,792",
"201701","01029010","改良种用其他牛","601","澳大利亚","10","一般贸易","12","天津市","1343240","千克","3702","头","46,786,806",
"201701","01029010","改良种用其他牛","609","新西兰","10","一般贸易","11","北京市","455620","千克","1199","头","16,722,387",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","11","北京市","163535","千克","242","头","5,461,974",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","13","河北省","28125","千克","45","头","926,117",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","15","内蒙古自治区","53280","千克","96","头","2,147,520",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","32","江苏省","181690","千克","310","头","7,207,711",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","34","安徽省","45850","千克","72","头","1,417,363",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","42","湖北省","64050","千克","105","头","2,160,942",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","52","贵州省","14880","千克","24","头","515,404",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","61","陕西省","11988","千克","18","头","338,234",
"201701","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","62","甘肃省","19800","千克","36","头","705,460",
"201701","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","13","河北省","18000","千克","26","头","581,620",
"201701","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","15","内蒙古自治区","24300","千克","36","头","837,533",
"201701","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","22500","千克","30","头","729,635",
"201701","01039120","其他猪，10kg≤重量＜50kg，改良种用除外","110","中国香港","10","一般贸易","44","广东省","7840","千克","160","头","213,657",
"201701","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","33","浙江省","57900","千克","520","头","1,156,660",
"201701","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","36","江西省","31200","千克","280","头","523,504",
"201701","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","42","湖北省","60040","千克","558","头","1,107,215",
"201701","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","44","广东省","318354","千克","2911","头","5,746,489",
"201701","01039200","其他猪，重量≥50kg，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","169050","千克","1645","头","3,711,802",
"201701","01042090","其他山羊，改良种用除外","110","中国香港","10","一般贸易","44","广东省","20000","千克","660","头","1,181,136",
"201701","01051110","改良种用鸡，改良种用除外，重量≤185g","312","西班牙","10","一般贸易","11","北京市","4454","千克","99713","只","14,879,138",
"201701","01051110","改良种用鸡，改良种用除外，重量≤185g","327","波兰","10","一般贸易","11","北京市","2399","千克","46771","只","5,926,549",
"201701","01051190","其他鸡，改良种用除外，重量≤185g","110","中国香港","10","一般贸易","44","广东省","888","千克","19500","只","78,547",
"201701","01059490","其他鸡，改良种用除外，重量＞185g","110","中国香港","10","一般贸易","44","广东省","9000","千克","6000","只","111,182",
"201701","01059490","其他鸡，改良种用除外，重量＞185g","121","中国澳门","10","一般贸易","44","广东省","16220","千克","7600","只","323,959",
"201701","01061110","改良种用灵长目动物","110","中国香港","39","其他","51","四川省","13","千克","1","只","150,000",
"201701","01061110","改良种用灵长目动物","352","捷克","10","一般贸易","21","辽宁省","100","千克","10","只","578,160",
"201701","01061190","其他灵长目动物，改良种用除外","116","日本","10","一般贸易","44","广东省","360","千克","120","只","2,001,283",
"201701","01061190","其他灵长目动物，改良种用除外","133","韩国","10","一般贸易","44","广东省","12","千克","2","只","31,355",
"201701","01061190","其他灵长目动物，改良种用除外","501","加拿大","10","一般贸易","53","云南省","360","千克","120","只","1,834,510",
"201701","01061190","其他灵长目动物，改良种用除外","502","美国","10","一般贸易","11","北京市","500","千克","180","只","1,813,663",
"201701","01061190","其他灵长目动物，改良种用除外","502","美国","10","一般贸易","32","江苏省","450","千克","120","只","2,251,444",
"201701","01061490","其他家兔及野兔,改良种用除外","116","日本","10","一般贸易","32","江苏省","2700","千克","900","只","128,700",
"201701","01061910","其他改良种用哺乳动物","302","丹麦","10","一般贸易","11","北京市","24974","千克","14017","只","12,633,492",
"201701","01061990","未列名哺乳动物,改良种用除外","107","柬埔寨","10","一般贸易","42","湖北省","30","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","110","中国香港","10","一般贸易","44","广东省","0","千克","9","只","1,876",
"201701","01061990","未列名哺乳动物,改良种用除外","112","印度尼西亚","10","一般贸易","44","广东省","84","千克","4","只","2,762",
"201701","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","11","北京市","195","千克","149","只","142,308",
"201701","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","37","山东省","260","千克","7","只","41,310",
"201701","01061990","未列名哺乳动物,改良种用除外","119","老挝","10","一般贸易","44","广东省","7","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","122","马来西亚","10","一般贸易","44","广东省","52","千克","10","只","6,950",
"201701","01061990","未列名哺乳动物,改良种用除外","124","蒙古","10","一般贸易","31","上海市","1","千克","40","只","1,390",
"201701","01061990","未列名哺乳动物,改良种用除外","125","尼泊尔","10","一般贸易","42","湖北省","71","千克","7","只","5,559",
"201701","01061990","未列名哺乳动物,改良种用除外","129","菲律宾","10","一般贸易","42","湖北省","16","千克","2","只","2,085",
"201701","01061990","未列名哺乳动物,改良种用除外","129","菲律宾","10","一般贸易","44","广东省","66","千克","8","只","5,559",
"201701","01061990","未列名哺乳动物,改良种用除外","132","新加坡","10","一般贸易","11","北京市","8","千克","30","只","14,391",
"201701","01061990","未列名哺乳动物,改良种用除外","132","新加坡","10","一般贸易","44","广东省","20","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","11","北京市","759","千克","667","只","717,597",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","21","辽宁省","16","千克","16","只","2,224",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","23","黑龙江省","45","千克","45","只","4,690",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","32","江苏省","186","千克","167","只","90,026",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","36","江西省","8","千克","8","只","1,112",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","44","广东省","25","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","51","四川省","184","千克","184","只","19,181",
"201701","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","61","陕西省","188","千克","24","只","125,080",
"201701","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","11","北京市","78","千克","312","只","133,468",
"201701","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","42","湖北省","151","千克","35","只","24,322",
"201701","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","44","广东省","573","千克","83","只","57,658",
"201701","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","51","四川省","50","千克","6","只","1,459",
"201701","01061990","未列名哺乳动物,改良种用除外","141","越南","10","一般贸易","44","广东省","52","千克","2","只","1,390",
"201701","01061990","未列名哺乳动物,改良种用除外","143","中国台湾","10","一般贸易","32","江苏省","1","千克","35","只","5,618",
"201701","01061990","未列名哺乳动物,改良种用除外","303","英国","10","一般贸易","11","北京市","1","千克","31","只","23,335",
"201701","01061990","未列名哺乳动物,改良种用除外","303","英国","10","一般贸易","44","广东省","10","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","305","法国","10","一般贸易","31","上海市","0","千克","5","只","174",
"201701","01061990","未列名哺乳动物,改良种用除外","305","法国","10","一般贸易","32","江苏省","0","千克","5","只","347",
"201701","01061990","未列名哺乳动物,改良种用除外","307","意大利","10","一般贸易","44","广东省","30","千克","1","只","695",
"201701","01061990","未列名哺乳动物,改良种用除外","309","荷兰","10","一般贸易","32","江苏省","0","千克","5","只","347",
"201701","01061990","未列名哺乳动物,改良种用除外","353","斯洛伐克","10","一般贸易","11","北京市","120","千克","6","只","93,228",
"201701","01061990","未列名哺乳动物,改良种用除外","501","加拿大","10","一般贸易","44","广东省","24","千克","3","只","1,807",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","10","一般贸易","11","北京市","31","千克","1094","只","1,134,198",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","10","一般贸易","31","上海市","3","千克","25","只","23,054",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","10","一般贸易","32","江苏省","11","千克","279","只","124,389",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","10","一般贸易","44","广东省","34","千克","43","只","9,450",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","39","其他","31","上海市","3","千克","35","只","12,824",
"201701","01061990","未列名哺乳动物,改良种用除外","502","美国","39","其他","32","江苏省","12","千克","156","只","51,450",
"201701","01061990","未列名哺乳动物,改良种用除外","601","澳大利亚","39","其他","31","上海市","0","千克","4","只","2,484",
"201701","01062020","食用爬行动物","112","印度尼西亚","10","一般贸易","44","广东省","10168","千克","3319","只","290,936",
"201701","01062020","食用爬行动物","116","日本","10","一般贸易","32","江苏省","4000","千克","4400","只","378,715",
"201701","01062020","食用爬行动物","116","日本","10","一般贸易","33","浙江省","2000","千克","2280","只","166,774",
"201701","01062020","食用爬行动物","121","中国澳门","10","一般贸易","44","广东省","46","千克","46","只","2,034",
"201701","01062020","食用爬行动物","129","菲律宾","10","一般贸易","35","福建省","7937","千克","8760","只","221,265",
"201701","01062020","食用爬行动物","129","菲律宾","10","一般贸易","51","四川省","1957","千克","2396","只","40,919",
"201701","01062020","食用爬行动物","133","韩国","10","一般贸易","33","浙江省","1000","千克","800","只","90,336",
"201701","01062020","食用爬行动物","141","越南","10","一般贸易","44","广东省","104150","千克","6000","只","2,293,140",
"201701","01062020","食用爬行动物","141","越南","19","边境小额贸易","45","广西壮族自治区","37500","千克","25000","只","2,925,000",
"201701","01062020","食用爬行动物","143","中国台湾","10","一般贸易","35","福建省","25741","千克","17701","只","358,803",
"201701","01062020","食用爬行动物","143","中国台湾","39","其他","35","福建省","4288","千克","2948","只","59,772",
"201701","01062090","未列名爬行动物","112","印度尼西亚","10","一般贸易","31","上海市","810","千克","33750","只","41,693",
"201701","01062090","未列名爬行动物","132","新加坡","10","一般贸易","31","上海市","24","千克","2500","只","3,475",
"201701","01062090","未列名爬行动物","133","韩国","10","一般贸易","46","海南省","2055","千克","9000","只","156,350",
"201701","01062090","未列名爬行动物","138","阿联酋","10","一般贸易","44","广东省","6","千克","1000","只","695",
"201701","01062090","未列名爬行动物","143","中国台湾","10","一般贸易","46","海南省","90","千克","18000","只","34,047",
"201701","01062090","未列名爬行动物","244","南非","10","一般贸易","31","上海市","21","千克","140","只","17,851",
"201701","01062090","未列名爬行动物","344","俄罗斯","10","一般贸易","31","上海市","42","千克","4100","只","3,614",
"201701","01063910","其他改良种用鸟","402","阿根廷","10","一般贸易","21","辽宁省","53","千克","15","只","2,188,904",
"201701","01063921","食用乳鸽","110","中国香港","10","一般贸易","44","广东省","7186","千克","10950","只","240,120",
"201701","01063921","食用乳鸽","121","中国澳门","10","一般贸易","44","广东省","12894","千克","22840","只","470,054",
"201701","01063929","其他食用鸟","110","中国香港","10","一般贸易","44","广东省","9800","千克","12000","只","99,502",
"201701","01063990","未列名鸟","311","葡萄牙","10","一般贸易","12","天津市","886","千克","1908","只","3,429,220",
"201701","01064190","其他蜂,改良种用除外","301","比利时","10","一般贸易","37","山东省","606","千克","41300","只","108,321",
"201701","01064190","其他蜂,改良种用除外","353","斯洛伐克","10","一般贸易","11","北京市","440","千克","61550","只","138,299",
"201701","01064910","改良种用昆虫","502","美国","10","一般贸易","44","广东省","0","千克","460","只","501",
"201701","01064990","其他昆虫,改良种用除外","315","奥地利","39","其他","11","北京市","0","千克","620","只","896",
"201701","01064990","其他昆虫,改良种用除外","502","美国","39","其他","11","北京市","0","千克","1470","只","5,795",
"201701","01069011","改良种用蛙苗","138","阿联酋","10","一般贸易","44","广东省","3","千克","200","只","695",
"201701","01069090","其他活动物,改良种用除外","112","印度尼西亚","10","一般贸易","31","上海市","170","千克","1500","只","21,502",
"201701","01069090","其他活动物,改良种用除外","112","印度尼西亚","10","一般贸易","44","广东省","84","千克","300","只","7,890",
"201701","01069090","其他活动物,改良种用除外","116","日本","10","一般贸易","44","广东省","0","千克","10","只","2,782",
"201701","01069090","其他活动物,改良种用除外","121","中国澳门","10","一般贸易","44","广东省","8400","千克","42000","只","37,576",
"201701","01069090","其他活动物,改良种用除外","312","西班牙","10","一般贸易","31","上海市","8","千克","1000","只","834",
"201701","01069090","其他活动物,改良种用除外","502","美国","10","一般贸易","44","广东省","0","千克","6","只","14,910",
"201701","02012000","鲜或冷的带骨牛肉","601","澳大利亚","10","一般贸易","31","上海市","35959","千克","0","?","2,468,113",
"201701","02013000","鲜或冷的去骨牛肉","601","澳大利亚","10","一般贸易","11","北京市","1339","千克","0","?","54,096",
"201701","02013000","鲜或冷的去骨牛肉","601","澳大利亚","10","一般贸易","23","黑龙江省","14528","千克","0","?","537,665",
