"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202301","01012900","其他马，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","11550","千克","21","头","146,265",
"202301","01022100","改良种用家牛","412","智利","10","一般贸易","11","北京市","1016635","千克","3792","头","63,762,278",
"202301","01022100","改良种用家牛","601","澳大利亚","10","一般贸易","11","北京市","560140","千克","2193","头","45,517,250",
"202301","01022100","改良种用家牛","609","新西兰","10","一般贸易","12","天津市","322995","千克","1059","头","16,202,700",
"202301","01022100","改良种用家牛","609","新西兰","10","一般贸易","13","河北省","734400","千克","2295","头","36,261,000",
"202301","01022900","其他家牛，改良种用除外","601","澳大利亚","10","一般贸易","37","山东省","616680","千克","2070","头","45,628,079",
"202301","01022900","其他家牛，改良种用除外","609","新西兰","10","一般贸易","11","北京市","1038398","千克","3307","头","46,529,490",
"202301","01022900","其他家牛，改良种用除外","609","新西兰","10","一般贸易","12","天津市","1532320","千克","5024","头","64,029,200",
"202301","01022900","其他家牛，改良种用除外","609","新西兰","10","一般贸易","13","河北省","2290164","千克","7557","头","91,969,000",
"202301","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","15","内蒙古自治区","85720","千克","120","头","3,260,000",
"202301","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","61","陕西省","9800","千克","15","头","450,000",
"202301","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","62","甘肃省","44310","千克","84","头","2,352,000",
"202301","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","15","内蒙古自治区","30000","千克","40","头","1,144,576",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","36","江西省","118100","千克","959","头","3,356,500",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","44","广东省","10800","千克","80","头","164,532",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","45","广西壮族自治区","41100","千克","360","头","1,260,000",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","121","中国澳门","10","一般贸易","43","湖南省","54600","千克","420","头","1,502,256",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","54439","千克","525","头","1,434,208",
"202301","01039200","其他猪，重量≥50kg，改良种用除外","121","中国澳门","10","一般贸易","45","广西壮族自治区","35700","千克","315","头","1,126,692",
"202301","01041090","其他绵羊，改良种用除外","124","蒙古","19","边境小额贸易","15","内蒙古自治区","722720","千克","16780","头","10,068,000",
"202301","01051190","其他鸡，改良种用除外，重量≤185g","110","中国香港","10","一般贸易","44","广东省","13728","千克","282200","只","1,103,084",
"202301","01061490","其他家兔及野兔,改良种用除外","133","韩国","10","一般贸易","32","江苏省","896","千克","339","只","223,349",
"202301","01061910","其他改良种用哺乳动物","133","韩国","10","一般贸易","11","北京市","640","千克","64","只","432,695",
"202301","01061990","未列名哺乳动物,改良种用除外","105","文莱","10","一般贸易","53","云南省","16","千克","5","只","3,483",
"202301","01061990","未列名哺乳动物,改良种用除外","107","柬埔寨","10","一般贸易","37","山东省","6","千克","2","只","2,786",
"202301","01061990","未列名哺乳动物,改良种用除外","110","中国香港","10","一般贸易","31","上海市","0","千克","20","只","25,000",
"202301","01061990","未列名哺乳动物,改良种用除外","110","中国香港","10","一般贸易","32","江苏省","10","千克","518","只","111,455",
"202301","01061990","未列名哺乳动物,改良种用除外","111","印度","10","一般贸易","32","江苏省","1","千克","29","只","6,060",
"202301","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","11","北京市","397","千克","57","只","394,988",
"202301","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","32","江苏省","3","千克","126","只","174,593",
"202301","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","34","安徽省","98","千克","9","只","25,771",
"202301","01061990","未列名哺乳动物,改良种用除外","116","日本","10","一般贸易","37","山东省","177","千克","29","只","72,020",
"202301","01061990","未列名哺乳动物,改良种用除外","118","科威特","10","一般贸易","37","山东省","4","千克","1","只","1,393",
"202301","01061990","未列名哺乳动物,改良种用除外","121","中国澳门","10","一般贸易","44","广东省","11","千克","71","只","19,852",
"202301","01061990","未列名哺乳动物,改良种用除外","122","马来西亚","10","一般贸易","37","山东省","44","千克","6","只","5,574",
"202301","01061990","未列名哺乳动物,改良种用除外","122","马来西亚","10","一般贸易","53","云南省","283","千克","49","只","34,133",
"202301","01061990","未列名哺乳动物,改良种用除外","129","菲律宾","10","一般贸易","34","安徽省","378","千克","66","只","92,124",
"202301","01061990","未列名哺乳动物,改良种用除外","129","菲律宾","10","一般贸易","37","山东省","148","千克","27","只","44,581",
"202301","01061990","未列名哺乳动物,改良种用除外","132","新加坡","10","一般贸易","31","上海市","1","千克","18","只","62,685",
"202301","01061990","未列名哺乳动物,改良种用除外","132","新加坡","10","一般贸易","32","江苏省","0","千克","4","只","836",
"202301","01061990","未列名哺乳动物,改良种用除外","132","新加坡","10","一般贸易","53","云南省","23","千克","3","只","2,090",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","11","北京市","891","千克","177","只","1,070,707",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","21","辽宁省","199","千克","83","只","129,464",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","31","上海市","0","千克","9","只","697",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","32","江苏省","28","千克","585","只","170,790",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","37","山东省","224","千克","62","只","91,949",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","10","一般贸易","61","陕西省","145","千克","21","只","130,197",
"202301","01061990","未列名哺乳动物,改良种用除外","133","韩国","39","其他","61","陕西省","77","千克","21","只","100,031",
"202301","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","37","山东省","55","千克","5","只","6,965",
"202301","01061990","未列名哺乳动物,改良种用除外","136","泰国","10","一般贸易","53","云南省","535","千克","125","只","87,064",
"202301","01061990","未列名哺乳动物,改良种用除外","141","越南","10","一般贸易","37","山东省","8","千克","2","只","2,786",
"202301","01061990","未列名哺乳动物,改良种用除外","302","丹麦","10","一般贸易","32","江苏省","1","千克","66","只","158,802",
"202301","01061990","未列名哺乳动物,改良种用除外","303","英国","10","一般贸易","11","北京市","0","千克","4","只","418",
"202301","01061990","未列名哺乳动物,改良种用除外","303","英国","10","一般贸易","32","江苏省","3","千克","111","只","190,232",
"202301","01061990","未列名哺乳动物,改良种用除外","304","德国","10","一般贸易","32","江苏省","0","千克","37","只","302,244",
"202301","01061990","未列名哺乳动物,改良种用除外","305","法国","10","一般贸易","11","北京市","1","千克","18","只","29,505",
