"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"201601","01012900","其他马，改良种用除外","110","中国香港","10","一般贸易","44","广东省","11170","千克","22","头","71,089",
"201601","01012900","其他马，改良种用除外","124","蒙古","10","一般贸易","15","内蒙古自治区","667180","千克","2051","头","2,650,958",
"201601","01012900","其他马，改良种用除外","124","蒙古","10","一般贸易","21","辽宁省","38320","千克","117","头","151,225",
"201601","01012900","其他马，改良种用除外","304","德国","10","一般贸易","11","北京市","7200","千克","18","头","2,252,818",
"201601","01012900","其他马，改良种用除外","306","爱尔兰","10","一般贸易","11","北京市","3600","千克","9","头","1,102,706",
"201601","01012900","其他马，改良种用除外","309","荷兰","10","一般贸易","11","北京市","15500","千克","45","头","4,461,917",
"201601","01012900","其他马，改良种用除外","321","匈牙利","10","一般贸易","11","北京市","3200","千克","8","头","646,553",
"201601","01012900","其他马，改良种用除外","601","澳大利亚","10","一般贸易","11","北京市","7200","千克","18","头","3,067,396",
"201601","01012900","其他马，改良种用除外","609","新西兰","10","一般贸易","11","北京市","3000","千克","6","头","5,959,946",
"201601","01022100","改良种用家牛","601","澳大利亚","10","一般贸易","11","北京市","24780","千克","84","头","931,002",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","11","北京市","201480","千克","322","头","6,566,468",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","13","河北省","32260","千克","58","头","1,112,422",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","15","内蒙古自治区","84180","千克","138","头","2,876,957",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","32","江苏省","172350","千克","295","头","6,145,432",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","34","安徽省","73220","千克","125","头","2,293,224",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","42","湖北省","105600","千克","176","头","3,375,628",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","44","广东省","83900","千克","130","头","2,960,862",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","52","贵州省","28250","千克","50","头","833,900",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","61","陕西省","18200","千克","36","头","630,428",
"201601","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","62","甘肃省","30210","千克","53","头","963,487",
"201601","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","13","河北省","19500","千克","30","头","625,425",
"201601","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","15","内蒙古自治区","28000","千克","40","头","867,256",
"201601","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","70850","千克","107","头","2,572,672",
"201601","01031000","改良种用猪","110","中国香港","10","一般贸易","44","广东省","3489","千克","53","头","99,201",
"201601","01039120","其他猪，10kg≤重量＜50kg，改良种用除外","110","中国香港","10","一般贸易","44","广东省","8200","千克","165","头","241,820",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","33","浙江省","305000","千克","2680","头","5,754,050",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","36","江西省","85000","千克","800","头","1,547,609",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","41","河南省","129600","千克","1205","头","2,911,607",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","42","湖北省","25210","千克","240","头","455,726",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","43","湖南省","14160","千克","120","头","250,170",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","44","广东省","1575776","千克","14622","头","27,715,570",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","45","广西壮族自治区","8000","千克","80","头","158,036",
"201601","01039200","其他猪，重量≥50kg，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","191700","千克","1869","头","3,718,280",
"201601","01042090","其他山羊，改良种用除外","110","中国香港","10","一般贸易","44","广东省","33120","千克","989","头","1,731,928",
"201601","01051190","其他鸡，改良种用除外，重量≤185g","110","中国香港","10","一般贸易","44","广东省","1335","千克","31000","只","118,801",
"201601","01059490","其他鸡，改良种用除外，重量＞185g","110","中国香港","10","一般贸易","46","海南省","32000","千克","20000","只","1,084,070",
