NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2019,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010130,      6.80,      6.80,      6.80,      6.80,0,0,0,1,1,1,U2 
H5,840,2019,010190,      4.50,      0.00,      4.50,      2.25,0,1,0,1,2,2,U2 
H5,840,2019,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010229,      0.33,      0.00,      0.33,      0.17,0,1,1,0,2,2,U2 
H5,840,2019,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010239,      0.18,      0.18,      0.18,      0.18,0,0,1,0,1,1,U2 
H5,840,2019,010290,      0.30,      0.30,      0.30,      0.30,0,0,1,0,1,1,U2 
H5,840,2019,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010420,      0.61,      0.61,      0.61,      0.61,0,0,1,0,1,1,U2 
H5,840,2019,010511,      0.91,      0.91,      0.91,      0.91,0,0,1,0,1,1,U2 
H5,840,2019,010512,      0.34,      0.34,      0.34,      0.34,0,0,1,0,1,1,U2 
H5,840,2019,010513,      0.58,      0.58,      0.58,      0.58,0,0,1,0,1,1,U2 
H5,840,2019,010514,      0.19,      0.19,      0.19,      0.19,0,0,1,0,1,1,U2 
H5,840,2019,010515,      4.31,      4.31,      4.31,      4.31,0,0,1,0,1,1,U2 
H5,840,2019,010594,      2.29,      2.29,      2.29,      2.29,0,0,1,0,1,1,U2 
H5,840,2019,010599,      1.38,      1.38,      1.38,      1.38,0,0,1,0,1,1,U2 
H5,840,2019,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010619,      4.80,      0.00,      4.80,      2.40,0,1,0,1,2,2,U2 
H5,840,2019,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010631,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2019,010632,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2019,010633,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2019,010639,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2019,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020110,     28.59,      1.10,     26.40,      9.53,0,0,2,1,3,3,U2 
H5,840,2019,020120,     56.19,      0.90,     26.40,      8.03,0,0,2,5,7,7,U2 
H5,840,2019,020130,     55.61,      0.61,     26.40,      7.94,0,0,2,5,7,7,U2 
H5,840,2019,020210,     28.35,      0.98,     26.40,      9.45,0,0,2,1,3,3,U2 
H5,840,2019,020220,     56.64,      1.12,     26.40,      8.09,0,0,2,5,7,7,U2 
H5,840,2019,020230,     56.20,      0.90,     26.40,      8.03,0,0,2,5,7,7,U2 
H5,840,2019,020311,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020312,      0.65,      0.00,      0.65,      0.32,0,1,1,0,2,2,U2 
H5,840,2019,020319,      0.42,      0.00,      0.42,      0.21,0,1,1,0,2,2,U2 
H5,840,2019,020321,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020322,      0.75,      0.00,      0.75,      0.37,0,1,1,0,2,2,U2 
H5,840,2019,020329,      0.47,      0.00,      0.47,      0.24,0,1,1,0,2,2,U2 
H5,840,2019,020410,      0.11,      0.11,      0.11,      0.11,0,0,1,0,1,1,U2 
H5,840,2019,020421,      0.62,      0.62,      0.62,      0.62,0,0,1,0,1,1,U2 
H5,840,2019,020422,      0.34,      0.07,      0.27,      0.17,0,0,2,0,2,2,U2 
H5,840,2019,020423,      0.33,      0.07,      0.27,      0.17,0,0,2,0,2,2,U2 
H5,840,2019,020430,      0.12,      0.12,      0.12,      0.12,0,0,1,0,1,1,U2 
H5,840,2019,020441,      0.82,      0.82,      0.82,      0.82,0,0,1,0,1,1,U2 
H5,840,2019,020442,      0.66,      0.13,      0.53,      0.33,0,0,2,0,2,2,U2 
H5,840,2019,020443,      0.49,      0.10,      0.39,      0.25,0,0,2,0,2,2,U2 
H5,840,2019,020450,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020500,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020610,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2019,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
