year,relative_to_2021,estimate_per_architecture,std_error,ci_low,ci_high,p_value,linear_projection,deviation_from_linear_projection
2020,-1,0.0267768965570333,0.0237470367135552,-0.019788499105688,0.0733422922197546,0.25959942708698,0.013193424302670736,0.013583472254362563
2021,0,0.0,0.0,0.0,0.0,,-0.0,0.0
2022,1,-0.0290953605652889,0.0232525595725122,-0.0746911395134459,0.0165004183828679,0.2109484976979106,-0.013193424302670736,-0.015901936262618162
2023,2,-0.0445716465475569,0.0244645958359982,-0.0925440987980537,0.0034008057029398,0.0685895071429207,-0.026386848605341472,-0.01818479794221543
2024,3,-0.0486904730434482,0.0278903125976922,-0.1033803889657656,0.0059994428788692,0.0809686146569017,-0.03958027290801221,-0.009110200135435995
