draw,trend_estimate,post_break_estimate
1,0.004534569089596095,-0.023049869715161594
2,0.010295427798393948,-0.02335246513591408
3,0.00038433679709664475,-0.00015211985583854157
4,0.014671062409833895,-0.023101656724067617
5,0.014534173484070434,-0.01850680729417213
6,0.00046420512687141147,-0.02865310039936532
7,0.012005497624525227,-0.013970039260037106
8,-0.00933179731861112,-0.0020196425289790987
9,0.0040949696298482885,-0.04446534051030737
10,0.00880104231513644,-0.007260397089934804
11,-0.003708445506875966,0.025985129204143663
12,0.007633473047705352,-0.0031879352707904346
13,0.0013024036923543064,-0.008019706636703375
14,-0.0031757658588123933,-0.008621924914147011
15,-6.976110685459657e-05,0.0030150017270377232
16,0.0026268889867269857,-0.0021539076561533158
17,0.004456301584857594,-0.016641140996132824
18,0.0007223954237412793,0.001222204904980092
19,0.004944274988671837,0.016059546411191644
20,0.010489895027265684,-0.035079134282063225
21,0.0027389963294996676,-0.032770499426873836
22,0.004877130556954755,-0.004208013034337585
23,0.00942264766848826,-0.01646619154792595
24,0.0058305468668293945,-0.01570121223604973
25,0.006261492133268428,-0.0023430440344308773
26,-0.0030967569948966555,-0.002820879083255165
27,0.00997846760795309,-0.0267138092322949
28,0.0027044208358174993,-0.01799245878954348
29,0.004098971501372797,-0.0388894001534133
30,-0.015174209054022322,0.012499412030799684
31,-0.003711385815067695,0.007825697595763128
32,0.0035956164651755503,-0.02226086381128711
33,-0.0006917037369517792,0.013725686908066526
34,0.012547624267846048,-0.009799491505881275
35,0.0018138144777258367,-0.013307657907516906
36,0.008791005412042946,-0.023181607273546775
37,-0.00748580663788011,0.028081309340610844
38,0.004435204316347936,-0.01219715796715468
39,-0.007908485288254484,0.00817310121588722
40,-0.00033716081306820345,-0.0024953215856198634
41,-0.004604700255192586,-0.0088691230561221
42,0.012242496516714342,-0.02991934722839777
43,0.0016530623275151542,-0.014370867567487726
44,0.0007018210026346,0.0031946643833446163
45,-0.002803858859316676,0.015114428183887339
46,-0.006010747410859903,0.008852286885496292
47,-0.0008010344855092083,0.011059809096522724
48,-0.0036124178056115685,0.002214251752995243
49,0.003520425522501553,0.01210597647635446
50,-0.0026699406767326083,-0.0005583467021458982
51,0.017005797060650415,-0.028990932741468266
52,0.00024614224550544364,-0.021602076742856094
53,0.0004282340031796991,0.005589775826702191
54,0.007224577664336693,-0.018251706834695628
55,-0.005633573709642792,-0.010522385646654184
56,0.006291741965056594,0.010805354363860556
57,-0.004512511738819421,0.009158294500378798
58,0.0036687487973187747,-0.004741806728233253
59,-0.0016363447340026348,0.008197998768381528
60,0.0064171631030032275,0.0030998511060747608
61,0.0016271339087811235,-0.007195509448587204
62,0.010914527298415314,-0.03515945091214531
63,-0.0024861812936680726,0.006037717735924307
64,0.01651422227960992,-0.02954694365539773
65,-0.008494242203968654,0.0021038601375422405
66,0.004812991084453229,-0.0072267165544731456
67,-0.0021090552407408217,-0.030660931898301422
68,0.015934467423387933,-0.023907297098674993
69,0.0022479988404843425,-0.007082910525996562
70,-0.0060474479902834204,0.014636648145668354
71,0.009886167694956153,-0.014243716321395879
72,-0.005188392880718491,-0.012653645690709592
73,0.009817670631906038,-0.007251896684420708
74,-0.002272548765545716,0.0049128151232624186
75,0.0018604616698776576,-0.016774637142666554
76,0.008590793216045025,-0.027412684198056553
77,-0.004556752135400237,0.02698915757221388
78,0.011637088004780364,-0.00797293609665388
79,0.0036798916460841578,-0.009393063047757253
80,0.005419187151891146,-0.024098276405278972
81,-0.003859061345294259,0.0009239263861045635
82,-0.009036902129691896,0.013233290197254603
83,0.007669518480429892,-0.023586296614476792
84,0.013151004168427122,-0.021353376918868724
85,0.005777217595072305,0.004607986137622103
86,-0.007752154773161411,0.0280584391456884
87,0.007025611590889932,-0.005835732519569134
88,0.00619379696487904,-0.011586071229760287
89,0.00541789889681113,-0.026595316478532128
90,0.003333594862244037,0.0016336995323706846
91,0.010937179291396506,-0.0020377006354931476
92,0.012763054534662322,-0.021423951410025135
93,0.008685868381811162,-0.014514944661892563
94,0.0022591180602905218,-0.007600020570132879
95,0.01183672013507439,-0.01802990254846839
96,0.012596475252068005,-0.018536628328934213
97,-0.004962148353802228,0.002877523712781764
98,-0.012035013199259204,0.011426433720508902
99,0.0018623724849216022,-0.011140278197320328
100,0.009244575406185375,-0.04791244683586375
101,0.0025064225191254313,-0.01875416720098512
102,0.016591434814151918,-0.027884600876392128
103,0.004963722322991164,-0.01587054431104215
104,-0.008321508828961696,0.017315583962504787
105,2.138414436740968e-05,-0.014970051026124732
106,-0.0002766378028850377,0.007160371953239101
107,-0.009772147413650999,0.012357042031575283
108,0.005853086471381531,-0.00691292832437301
109,0.006161547371502764,-0.003729721714445376
110,-0.002726004232718243,-0.004158655304602743
111,-0.011065929181067493,0.004772641351012519
112,-0.0035527503503917845,0.015299158809798999
113,-0.007919735788254346,0.033283411820843774
114,0.015421217662931287,-0.029793568731191905
115,-0.004100776563390937,0.012468600599168256
