company_id,country
1000,US
100005218,US
100005943,US
100006182,US
100006526,US
100006595,US
100006905,US
100007184,US
100009044,US
10001,US
10002,US
100021687,CN
100022235,CN
10003,US
10004,US
100049456,US
100049546,CN
100049705,CN
100049827,US
10005,US
100050346,US
100050586,CN
100050705,CN
100050963,US
100050973,US
100051241,US
100051504,US
100051627,US
10006,US
10007,US
100097576,US
1001,US
100103691,CN
100103749,CN
100103969,US
100104211,US
100104337,US
100104558,US
100104621,US
100104669,US
100104670,US
100104698,US
100104759,US
100104764,US
100104765,US
100116438,US
10015,US
100157987,US
100163058,US
100179804,US
100179944,US
100180046,CN
100180344,US
100180561,US
100180648,US
100180902,CN
100181110,CN
100181116,CN
100181196,US
100181218,US
100181219,US
100181232,CN
100181272,US
100181493,CN
1002,US
10020,US
100216871,US
100229985,CN
10023,US
100230072,US
100230090,US
100230206,CN
100230214,US
100230238,CN
100230275,US
100230588,CN
100230732,CN
100231230,US
100231838,CN
100232178,CN
100232259,CN
100232399,US
100232508,US
10028,US
100283818,US
100283900,CN
100284298,CN
100284708,US
100284900,US
100284986,CN
1003,US
100317515,US
10032,US
100326800,US
100341020,US
100341044,CN
100341112,CN
100341140,US
100341469,US
100341611,US
100341666,CN
100341927,US
100342072,CN
100342238,US
100342244,CN
100342363,CN
100342628,US
100342743,US
100342957,CN
10035,US
10036,US
10038,US
100380295,US
100380303,US
100380347,US
100380349,US
100380529,US
100380565,CN
100380867,CN
100380879,CN
100380961,CN
100381021,CN
100381143,US
100381181,CN
100381195,CN
100381347,US
100381367,US
100381405,US
100381781,US
100381859,US
100381941,US
100393187,US
100393416,CN
100393513,CN
10040,US
10041,US
10042,US
100453525,US
100454224,US
100454452,US
100454804,CN
100454832,CN
100455152,CN
100455405,CN
100455503,US
100455545,CN
100455703,US
100455744,US
100455748,US
100455773,US
100455799,US
100455853,CN
100456111,US
100456234,CN
100456707,US
100457997,US
10046,US
100470903,US
10048,US
10051,US
100516973,CN
100517142,US
100517217,US
100517239,CN
100517252,US
100517310,CN
100517642,US
100517674,US
100517858,US
100517916,US
100518012,US
100518303,US
100518444,US
100518580,US
100518581,US
100518630,CN
100518672,US
100518715,US
100518817,US
100518959,CN
10053,US
10054,US
