event_time,revenue10_interaction,std_error,ci_low,ci_high,p_value_t18,contributing_cohorts
-6,-0.26846736247244984,0.04583388825022384,-0.36476078848728627,-0.17217393645761342,1.5112144892054279e-05,2023
-5,-0.06501734342589824,0.019053349919518313,-0.10504694621223759,-0.024987740639558893,0.003105152097511264,"2022,2023"
-4,-0.05305143903826023,0.01997659669107278,-0.09502071131553966,-0.01108216676098079,0.01609448419794932,"2022,2023"
-3,-0.03373622093497981,0.014576002255514456,-0.06435926533219208,-0.0031131765377675445,0.03265430940268961,"2022,2023"
-2,-0.03770489379994437,0.013377132317915786,-0.06580920592187328,-0.009600581678015457,0.01137367782222355,"2022,2023"
-1,0.0,0.0,0.0,0.0,,reference
0,-0.009655542748764234,0.007791043163785031,-0.026023917048028866,0.006712831550500398,0.23114593990459864,"2022,2023"
1,-0.02424833392668079,0.013316231777819721,-0.052224698761659305,0.0037280309082977255,0.08527836631305225,"2022,2023"
2,-0.0027206188354281027,0.010299660952829278,-0.02435940353823634,0.018918165867380134,0.7946676711157354,2022
