NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,020711,      3.71,      3.71,      3.71,      3.71,0,0,1,0,1,1,U2 
H5,840,2020,020712,      4.22,      4.22,      4.22,      4.22,0,0,1,0,1,1,U2 
H5,840,2020,020713,      7.43,      7.43,      7.43,      7.43,0,0,1,0,1,1,U2 
H5,840,2020,020714,      7.70,      7.70,      7.70,      7.70,0,0,1,0,1,1,U2 
H5,840,2020,020724,      5.35,      5.35,      5.35,      5.35,0,0,1,0,1,1,U2 
H5,840,2020,020725,     12.65,      2.65,     10.00,      6.33,0,0,1,1,2,2,U2 
H5,840,2020,020726,      4.90,      4.90,      4.90,      4.90,0,0,1,0,1,1,U2 
H5,840,2020,020727,      5.93,      5.93,      5.93,      5.93,0,0,1,0,1,1,U2 
H5,840,2020,020741,      2.61,      2.61,      2.61,      2.61,0,0,1,0,1,1,U2 
H5,840,2020,020742,      3.36,      3.36,      3.36,      3.36,0,0,1,0,1,1,U2 
H5,840,2020,020743,      0.88,      0.88,      0.88,      0.88,0,0,1,0,1,1,U2 
H5,840,2020,020744,      2.52,      2.52,      2.52,      2.52,0,0,1,0,1,1,U2 
H5,840,2020,020745,      2.82,      2.82,      2.82,      2.82,0,0,1,0,1,1,U2 
H5,840,2020,020751,      1.73,      1.73,      1.73,      1.73,0,0,1,0,1,1,U2 
H5,840,2020,020752,      2.67,      2.67,      2.67,      2.67,0,0,1,0,1,1,U2 
H5,840,2020,020753,      0.55,      0.55,      0.55,      0.55,0,0,1,0,1,1,U2 
H5,840,2020,020754,      2.90,      2.90,      2.90,      2.90,0,0,1,0,1,1,U2 
H5,840,2020,020755,      2.58,      2.58,      2.58,      2.58,0,0,1,0,1,1,U2 
H5,840,2020,020760,     12.04,      1.51,      3.01,      2.41,0,0,5,0,5,5,U2 
H5,840,2020,020810,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1,U2 
H5,840,2020,020830,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1,U2 
H5,840,2020,020840,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1,U2 
H5,840,2020,020850,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1,U2 
H5,840,2020,020860,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1,U2 
H5,840,2020,020890,      7.34,      0.00,      6.40,      1.83,0,2,1,1,4,4,U2 
H5,840,2020,020910,      3.20,      3.20,      3.20,      3.20,0,0,0,1,1,1,U2 
H5,840,2020,020990,      3.20,      3.20,      3.20,      3.20,0,0,0,1,1,1,U2 
H5,840,2020,021011,      0.23,      0.23,      0.23,      0.23,0,0,1,0,1,1,U2 
H5,840,2020,021012,      0.26,      0.26,      0.26,      0.26,0,0,1,0,1,1,U2 
H5,840,2020,021019,      0.31,      0.31,      0.31,      0.31,0,0,1,0,1,1,U2 
H5,840,2020,021020,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,021091,      2.30,      2.30,      2.30,      2.30,0,0,0,1,1,1,U2 
H5,840,2020,021092,      2.30,      2.30,      2.30,      2.30,0,0,0,1,1,1,U2 
H5,840,2020,021093,      2.30,      2.30,      2.30,      2.30,0,0,0,1,1,1,U2 
H5,840,2020,021099,      4.60,      2.30,      2.30,      2.30,0,0,0,2,2,2,U2 
H5,840,2020,030111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030119,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030191,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030192,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030193,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030194,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030195,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030199,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030211,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030213,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030214,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030219,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030222,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030223,      0.08,      0.08,      0.08,      0.08,0,0,1,0,1,1,U2 
H5,840,2020,030224,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030229,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030232,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030233,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030234,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030235,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030236,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030239,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
