outcome,coef,se,t,p,n,firms
RCEP_share,-0.10128898036615108,0.00917561145179771,-11.03893521410023,0.0,12310,2437
Regional_HHI,0.06672715564056628,0.013109784251309556,5.0898744297718554,3.6490740029648805e-07,12310,2437
Entropy,-0.11424790405595511,0.027721853795915578,-4.121221650508377,3.799508121526962e-05,12310,2437
N_countries,-0.06460064071336977,0.13320972750082524,-0.48495437927361246,0.6277194751040578,12310,2437
N_RCEP_countries,-0.15226514064590801,0.037568399594119714,-4.053011102174842,5.095067778482232e-05,12310,2437
