outcome,coef,se,t,p,n,firms
RCEP_share,-0.08697247855208909,0.00710039224325447,-12.248968165767867,0.0,27588,13417
Regional_HHI,0.026648603402101904,0.00801427602965119,3.325141697579107,0.000885277611779367,27588,13417
Entropy,-0.03460727320050741,0.017153821256119976,-2.01746728520682,0.043659701903563386,27588,13417
N_countries,0.13385381610941077,0.08817640750728803,1.5180230165120685,0.12902392724251488,27588,13417
N_RCEP_countries,-0.052207616064260484,0.025974078973482223,-2.009989117133313,0.04444534071486772,27588,13417
