outcome,coefficient,std_error,t_stat,p_value,n,firms,cluster
RCEP_share,-0.48517049091628656,0.035965760909650465,-13.48978802742649,0.0,12310,2437,firm
Regional_HHI,-0.03593066330120011,0.03153598415176865,-1.1393544316956092,0.25458301819204276,12310,2437,firm
Entropy,0.07747689772559835,0.062311580614130176,1.24337879029872,0.21375782998962523,12310,2437,firm
N_countries,0.20302775595186523,0.23002427895620042,0.8826362020268492,0.37745436884169714,12310,2437,firm
N_RCEP_countries,-0.5273125433177676,0.080480563738364,-6.5520483309736655,5.958655791005185e-11,12310,2437,firm
