outcome,joint_pretrend_wald_p,coefs,n
RCEP_share,6.719317657832846e-09,"{'m4': (0.13578710729087387, 3.484481592153088e-10), 'm3': (0.07282516347143858, 4.514638355712641e-05), 'm2': (0.031384973434280566, 0.021115437437418283), 'p0': (-0.12841803375436395, 0.0), 'p1': (-0.2401084476170085, 0.0), 'p2': (-0.29182128709898064, 0.0)}",27588
Regional_HHI,0.08338356782294787,"{'m4': (0.03815198568297852, 0.014523996175139553), 'm3': (0.010129929460858155, 0.47227423614150377), 'm2': (0.007130882894207918, 0.5260437473348296), 'p0': (-0.00906359453202824, 0.41835796485454413), 'p1': (-0.024335886007136185, 0.11798492322827414), 'p2': (-0.013893389406871922, 0.4381702603124831)}",27588
Entropy,0.14501131973752956,"{'m4': (-0.05847387431625681, 0.034683651786984404), 'm3': (-0.011813791801866936, 0.6271110920422407), 'm2': (-0.011406545180398553, 0.5626421339253338), 'p0': (0.016780777991970898, 0.41513592254333354), 'p1': (0.04292573425101497, 0.13764001030349915), 'p2': (0.025292335190084, 0.4522272025610854)}",27588
N_countries,0.617762117608543,"{'m4': (-0.08663584530766576, 0.3010063445529947), 'm3': (-0.016928646480233563, 0.8081114894252284), 'm2': (-0.034539754654040036, 0.555353346674484), 'p0': (0.009405466094374808, 0.8912640586461649), 'p1': (0.05396822647737109, 0.5732243769213692), 'p2': (-0.015063556701468802, 0.8988857994548143)}",27588
N_RCEP_countries,0.00044538725183285166,"{'m4': (0.11979724789851273, 7.094142337349396e-05), 'm3': (0.07218737667455666, 0.005182814812844105), 'm2': (0.03584119993722895, 0.059239897766579785), 'p0': (-0.12953010385728278, 1.3521983355246903e-07), 'p1': (-0.22468060822996258, 2.2616797323848914e-11), 'p2': (-0.31342375873520495, 1.176836406102666e-14)}",27588
