outcome,joint_pretrend_p,coef_m4,coef_m3,coef_m2,coef_p0,coef_p1,coef_p2
RCEP_share,0.013227686240465442,0.03126752476276242,0.008449391938538742,-0.0016125340194238565,-0.04969355148539014,-0.09003831901965015,-0.10963395409814106
Regional_HHI,0.009403917896563585,0.02954624619698874,-0.0017844177870424652,-0.008275917154064361,0.009023541126636685,0.031807798500903914,0.04810988380898784
Entropy,0.0013989143558319483,-0.06806693545290217,0.0007818719719483766,0.023194610974078614,-0.00597664328516266,-0.05009949011145485,-0.06496457323287767
N_countries,0.0013207001295171272,-0.3079496496927936,-0.05563027662546663,0.09046326744095162,0.09437182850422256,0.029352979616191988,0.1868219793345651
N_RCEP_countries,0.054994700812172725,-0.07384859975257826,-0.023665854114510408,0.008801627251787217,-0.03724185688595686,-0.07286804361189421,-0.08829872406394244
