outcome,joint_pretrend_p,coefs
RCEP_share,0.006273995030927959,"{'m4': (0.1817282859074144, 0.0007641645128306784), 'm3': (0.10927004583224292, 0.012856283878778463), 'm2': (0.03224409068332901, 0.381832324041421), 'p0': (-0.303809260061862, 4.75175454539567e-14), 'p1': (-0.4619512027075303, 0.0), 'p2': (-0.5277648851335262, 0.0)}"
Regional_HHI,0.7180389798764271,"{'m4': (0.04885103185810722, 0.25604811360728563), 'm3': (0.03054162801334333, 0.4674336041153624), 'm2': (0.018464909402229047, 0.603669934551855), 'p0': (-0.026670203303596096, 0.4522245173020787), 'p1': (-0.032163943030897264, 0.431659722542997), 'p2': (0.00219420538692854, 0.9580838571663768)}"
Entropy,0.8112933322343776,"{'m4': (-0.07698783035243945, 0.3438852379988502), 'm3': (-0.046307635892413684, 0.5438844281118094), 'm2': (-0.03337628505140466, 0.6111490502394643), 'p0': (0.06479189467162699, 0.34487062150263315), 'p1': (0.08134854615143823, 0.30715950778330847), 'p2': (0.004036881686352168, 0.9606338762733677)}"
N_countries,0.9592583240725674,"{'m4': (-0.07350792078678166, 0.7826677181336887), 'm3': (-0.10081575755202668, 0.6640570726457309), 'm2': (-0.1011923174205733, 0.626605198314157), 'p0': (0.2002157721627719, 0.4074977074765913), 'p1': (0.24347474301192107, 0.3770888767235603), 'p2': (0.011043482985151287, 0.970314596386624)}"
N_RCEP_countries,0.18556221576275655,"{'m4': (0.18983579322398328, 0.04106242507172286), 'm3': (0.1237242089557938, 0.13216661330637214), 'm2': (0.06881307989860216, 0.27520444737358396), 'p0': (-0.277764444953424, 0.0013052644266728919), 'p1': (-0.4558945009824302, 1.6582175106361063e-06), 'p2': (-0.6472642286647755, 8.525979922069382e-11)}"
