outcome,controls,coef,se,p,n,firms
RCEP_share,False,-0.08697247855208909,0.00710039224325447,0.0,27588,13417
Regional_HHI,False,0.026648603402101904,0.00801427602965119,0.000885277611779367,27588,13417
Entropy,False,-0.03460727320050741,0.017153821256119976,0.043659701903563386,27588,13417
N_countries,False,0.13385381610941077,0.08817640750728803,0.12902392724251488,27588,13417
N_RCEP_countries,False,-0.052207616064260484,0.025974078973482223,0.04444534071486772,27588,13417
