outcome,controls,coef,se,p,n,firms
RCEP_share,True,-0.09185120698587781,0.009477794229233078,0.0,10552,3704
Regional_HHI,True,0.06464908516707654,0.013476926391167486,1.6389519517101547e-06,10552,3704
Entropy,True,-0.11904099965547243,0.028300607965373648,2.6235172597255385e-05,10552,3704
N_countries,True,-0.13189553681161523,0.13432408761135498,0.3261682253837559,10552,3704
N_RCEP_countries,True,-0.16687892248053252,0.0377168806349086,9.791199510500448e-06,10552,3704
