draw,estimate
1,-0.011713446991170204
2,0.002386104360070641
3,0.0008087221369027564
4,0.013575999300517437
5,0.017828626416002993
6,-0.02749258758218687
7,0.01604370480127552
8,-0.025349135825505725
9,-0.0342279164356851
10,0.014742208697905613
11,0.016714015436953458
12,0.015895747348472596
13,-0.00476369740581725
14,-0.016561339561176825
15,0.002840598959901247
16,0.004413314810663871
17,-0.005500387033988715
18,0.0030281934643331047
19,0.02842023388287272
20,-0.008854396713898266
21,-0.025923008603122844
22,0.007984813358048827
23,0.007090427623294244
24,-0.001124845068976355
25,0.013310686298740286
26,-0.010562771570496322
27,-0.00176764021241216
28,-0.011231406699999807
29,-0.028641971399980197
30,-0.025436110604254582
31,-0.0014527669419061588
32,-0.013271822648347127
33,0.011996427565687163
34,0.02156956916373429
35,-0.008773121713201607
36,-0.0012040937434396547
37,0.00936679274591045
38,-0.001109147176284795
39,-0.011598112004748463
40,-0.0033382236182905953
41,-0.02038087369410274
42,0.0006868940633880472
43,-0.010238211748699674
44,0.004949216889931409
45,0.008104781035595228
46,-0.006174581641653499
47,0.009057222882749447
48,-0.006816792761033923
49,0.020907040282607293
50,-0.007233198393977565
51,0.013523559910158441
52,-0.02098672112909236
53,0.0066603608346508456
54,-0.00019026267385419368
55,-0.024606319920759068
56,0.026534709276501325
57,-0.0021229848466696975
58,0.004430065265063374
59,0.00410713693337492
60,0.019142758863582077
61,-0.0031276746766343596
62,-0.00787313266610729
63,-0.00017773549824600312
64,0.011738612043626827
65,-0.01913174537237897
66,0.0048057611566591765
67,-0.03593357000015195
68,0.01592887145979587
69,-0.00146291342478586
70,-0.00048197183004036824
71,0.010471702915994242
72,-0.025624627892504727
73,0.017292279895344324
74,-0.0007685567906018822
75,-0.012123482967971284
76,-0.005935701157944405
77,0.015597277233712683
78,0.02111978391529607
79,-0.00019333393254668819
80,-0.010550308525550549
81,-0.008723726977130202
82,-0.009358965126974155
83,-0.004412500413402147
84,0.01152413350219903
85,0.01905103012530346
86,0.008678052212785073
87,0.01172829645765491
88,0.003898421182437177
89,-0.01305056923650399
90,0.009967686687980813
91,0.025305247592998688
92,0.010483684926630443
93,0.007199726292635145
94,-0.0019522254194063871
