year,relative_to_2021,estimate_per_architecture,std_error,ci_low,ci_high,p_value
2020,-1,0.026776896557033317,0.023747036713555252,-0.019788499105688,0.07334229221975463,0.25959942708698
2021,0,0.0,0.0,0.0,0.0,
2022,1,-0.029095360565288955,0.023252559572512287,-0.0746911395134459,0.01650041838286799,0.2109484976979106
2023,2,-0.044571646547556944,0.024464595835998273,-0.09254409879805375,0.003400805702939859,0.06858950714292075
2024,3,-0.048690473043448215,0.027890312597692295,-0.10338038896576567,0.005999442878869235,0.0809686146569017
