NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H4,840,2016,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010130,      6.80,      6.80,      6.80,      6.80,0,0,0,1,1,1,U2 
H4,840,2016,010190,      4.50,      0.00,      4.50,      2.25,0,1,0,1,2,2,U2 
H4,840,2016,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010229,      0.32,      0.00,      0.32,      0.16,0,1,1,0,2,2,U2 
H4,840,2016,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010239,      0.13,      0.13,      0.13,      0.13,0,0,1,0,1,1,U2 
H4,840,2016,010290,      0.31,      0.31,      0.31,      0.31,0,0,1,0,1,1,U2 
H4,840,2016,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010420,      0.95,      0.95,      0.95,      0.95,0,0,1,0,1,1,U2 
H4,840,2016,010511,      0.62,      0.62,      0.62,      0.62,0,0,1,0,1,1,U2 
H4,840,2016,010512,      0.38,      0.38,      0.38,      0.38,0,0,1,0,1,1,U2 
H4,840,2016,010513,      0.52,      0.52,      0.52,      0.52,0,0,1,0,1,1,U2 
H4,840,2016,010514,      0.29,      0.29,      0.29,      0.29,0,0,1,0,1,1,U2 
H4,840,2016,010515,      0.84,      0.84,      0.84,      0.84,0,0,1,0,1,1,U2 
H4,840,2016,010594,      1.59,      1.59,      1.59,      1.59,0,0,1,0,1,1,U2 
H4,840,2016,010599,      1.27,      1.27,      1.27,      1.27,0,0,1,0,1,1,U2 
H4,840,2016,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010619,      4.80,      0.00,      4.80,      2.40,0,1,0,1,2,2,U2 
H4,840,2016,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010631,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H4,840,2016,010632,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H4,840,2016,010633,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H4,840,2016,010639,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H4,840,2016,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020110,     28.50,      1.05,     26.40,      9.50,0,0,2,1,3,3,U2 
H4,840,2016,020120,     56.18,      0.89,     26.40,      8.03,0,0,2,5,7,7,U2 
H4,840,2016,020130,     55.58,      0.59,     26.40,      7.94,0,0,2,5,7,7,U2 
H4,840,2016,020210,     29.14,      1.37,     26.40,      9.71,0,0,2,1,3,3,U2 
H4,840,2016,020220,     56.62,      1.11,     26.40,      8.09,0,0,2,5,7,7,U2 
H4,840,2016,020230,     56.21,      0.90,     26.40,      8.03,0,0,2,5,7,7,U2 
H4,840,2016,020311,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020312,      0.65,      0.00,      0.65,      0.32,0,1,1,0,2,2,U2 
H4,840,2016,020319,      0.43,      0.00,      0.43,      0.21,0,1,1,0,2,2,U2 
H4,840,2016,020321,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020322,      0.70,      0.00,      0.70,      0.35,0,1,1,0,2,2,U2 
H4,840,2016,020329,      0.47,      0.00,      0.47,      0.23,0,1,1,0,2,2,U2 
H4,840,2016,020410,      0.12,      0.12,      0.12,      0.12,0,0,1,0,1,1,U2 
H4,840,2016,020421,      0.58,      0.58,      0.58,      0.58,0,0,1,0,1,1,U2 
H4,840,2016,020422,      0.37,      0.07,      0.30,      0.19,0,0,2,0,2,2,U2 
H4,840,2016,020423,      0.33,      0.07,      0.27,      0.17,0,0,2,0,2,2,U2 
H4,840,2016,020430,      0.13,      0.13,      0.13,      0.13,0,0,1,0,1,1,U2 
H4,840,2016,020441,      0.74,      0.74,      0.74,      0.74,0,0,1,0,1,1,U2 
H4,840,2016,020442,      0.78,      0.16,      0.62,      0.39,0,0,2,0,2,2,U2 
H4,840,2016,020443,      0.53,      0.11,      0.43,      0.27,0,0,2,0,2,2,U2 
H4,840,2016,020450,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020500,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020610,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020629,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020630,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020680,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H4,840,2016,020711,      3.40,      3.40,      3.40,      3.40,0,0,1,0,1,1,U2 
