event_time,estimate,std_error,ci_low,ci_high,p_value_t14,contributing_cohorts
-5,0.0398773006134964,0.10872900452659985,-0.1933232208856143,0.2730778221126071,0.7192829187574274,2023
-4,-0.09405367701843598,0.07104422728575689,-0.24642838995427188,0.05832103591739993,0.20675490191256587,"2022,2023"
-3,-0.0716856105641949,0.04037170183726728,-0.1582742992333171,0.014903078104927317,0.09752430936041719,"2022,2023"
-2,0.008021432761053349,0.017547380689276967,-0.029613955749118445,0.04565682127122514,0.6545905483229275,"2022,2023"
-1,0.0,0.0,0.0,0.0,,reference
0,-0.0023303371855229018,0.01571424835973777,-0.036034047878108884,0.031373373507063075,0.8842250753814466,"2022,2023"
1,-0.01518682329068927,0.027637867209996517,-0.07446415296510554,0.04409050638372701,0.5913249989490585,"2022,2023"
2,-0.05738381598329436,0.027529552849922572,-0.1164288344601138,0.0016612024935250824,0.055917770424285605,2022
