draw,beta,std_error,t_stat
1,0.005238153608956848,0.004462932382804088,1.1737022118326794
2,0.0025193374186839104,0.004550610005247707,0.5536263085121866
3,-0.007025269262007107,0.004165303823699504,-1.6866162852359383
4,0.005629883598351655,0.004303512503936969,1.3082066319550103
5,0.0014744084932329653,0.004690729824441485,0.3143239002064076
6,0.000725858253569122,0.004729342349184979,0.1534797441116123
7,-0.002826249763175089,0.0045847620315524135,-0.6164441564741612
8,-0.007469511292180616,0.004469988139902443,-1.671036042691522
9,0.0016631093103031515,0.004687252791821042,0.35481536502685995
10,0.0011249508593104843,0.004775519366154691,0.235566180986155
11,-0.002407250977711742,0.004687025874426014,-0.5135988241171253
12,-0.008846233499402256,0.004153904015125412,-2.1296191407386615
13,0.004629352021194459,0.0045745458505730245,1.0119806801399902
14,0.0025281851465766,0.004657696345667951,0.542797331330546
15,-0.0069673840002223335,0.004333307569588775,-1.607867405747875
16,0.0012918546083107842,0.0046962836877580206,0.275080189827184
17,0.005229630378443881,0.00438659986551916,1.192183134721577
18,-0.004605186392723594,0.004535850259625829,-1.0152862482509475
19,0.0020065006417211008,0.004695378326525959,0.42733524376206783
20,-0.006572262380563943,0.0043489276212272596,-1.5112374711605943
21,0.0070958727892712235,0.004289560896524098,1.654218919008966
22,-0.003509449746435025,0.004636309609510601,-0.756948962001154
23,-0.0032887123551001403,0.004654620465481264,-0.7065479085758508
24,0.006140217620657084,0.004385203668959708,1.4002126432849844
25,-0.003304488691386262,0.004604059761389067,-0.7177336660784963
26,-0.005430309358825256,0.004402985905470134,-1.2333242657167736
27,-0.0020178648997334235,0.004644254811731414,-0.4344862591596579
28,0.0061795424866739265,0.004285841655793698,1.441850395550727
29,0.004317169384433426,0.004454693308139796,0.9691283071148623
30,-0.0025883641839428693,0.004617819920164103,-0.5605164836854198
31,0.003976464317146613,0.004515542743656299,0.8806171357214998
32,-0.002381383625262387,0.00460082780940567,-0.5175989460840117
33,-0.005630573782681173,0.004446647592619682,-1.2662514097196529
34,0.005697018436997459,0.004501494280554434,1.2655838443708467
35,0.0038028088723102895,0.004570928417891716,0.8319554638889506
36,-0.007700016742531822,0.004208511531592004,-1.8296294746325776
37,-0.00693303718306695,0.004093693507920384,-1.6935897056418778
38,0.000853508415795686,0.004707625997760951,0.18130336101500694
39,0.001248969305069537,0.004696100431675192,0.265958814816915
40,-0.005237148313985585,0.0043900424527153386,-1.1929607447750974
41,-5.8765862941292334e-05,0.004749796737606711,-0.012372290055279882
42,0.0092349586675805,0.003909004333929915,2.3624836092970356
43,-0.0042313007700453195,0.004460440069228129,-0.9486285443529204
44,0.002978176212646016,0.004606254606814064,0.6465504985852019
45,-0.0048140155645157445,0.004524994247968651,-1.0638721953462904
46,-0.0033644803547945024,0.004715125869732044,-0.7135504857658662
47,0.004679694550138155,0.0044838604953879434,1.0436753228499516
48,-0.0011431737236455234,0.004717068659885784,-0.2423483324224506
49,-0.008612649147066298,0.004177584145950051,-2.0616339123691403
50,0.0031096549346111882,0.0044716505763479925,0.6954154582335123
51,-0.0008653807324686398,0.004763973999864929,-0.18165101918968818
52,-0.005185033414766835,0.0044429045291645534,-1.1670368743534159
53,-0.005240404219263121,0.004289658611152359,-1.2216366602318867
54,-0.0015672265693189372,0.004689711110068226,-0.3341840323499451
55,-0.0002740055001589718,0.00474325738972514,-0.05776736905581457
56,-0.006586736508170048,0.004386471311211993,-1.5016025503994728
57,0.0019470653919967502,0.004691344207028507,0.4150335822896311
58,0.008658187948059289,0.004045353335767524,2.1402797801385556
59,-0.0011785362530978855,0.00477227051331863,-0.24695503949509626
60,-0.006405538890014082,0.0043079498755983344,-1.4869111932562613
61,0.0042945921084493925,0.004629862165660502,0.9275853048719692
62,-0.0036925639068946235,0.004595614700110493,-0.8034972790051009
63,0.0017834194666832193,0.004700402603052377,0.3794184492888101
64,-0.0016497985708786747,0.004684997228732702,-0.352145047335481
65,-0.0053933899646368,0.004339878063545262,-1.242751498006587
66,0.001925770775583949,0.004691635176538206,0.4104689949496261
